predictor,normalization,k,scope,checkpoint,n,spearman_r,spearman_p,pearson_r,pearson_p,layer
alpha_abs_diff,accuracy_majority,0,pooled,,72,0.0442,0.7121,0.0204,0.8651,layer_31
alpha_abs_diff,overall_score,0,pooled,,72,-0.0501,0.6762,-0.0327,0.7854,layer_31
alpha_abs_diff,transfer_score,0,pooled,,72,-0.0378,0.7526,-0.0429,0.7202,layer_31
alpha_abs_diff,transfer_score_str,0,pooled,,72,-0.2198,0.0636,-0.2043,0.0851,layer_31
alpha_abs_diff,overall_score_str,0,pooled,,72,-0.1909,0.1081,-0.1878,0.1142,layer_31
alpha_abs_diff,transfer_margin_str,0,pooled,,72,-0.2921,0.0128,-0.2663,0.0238,layer_31
alpha_abs_diff,overall_margin_str,0,pooled,,72,-0.2755,0.0192,-0.352,0.0024,layer_31
alpha_abs_diff,accuracy_gpt-5-mini,0,pooled,,72,0.0298,0.8036,0.005,0.9669,layer_31
alpha_abs_diff,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,0.0629,0.5999,0.055,0.6461,layer_31
alpha_abs_diff,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,0.022,0.8542,0.0003,0.9982,layer_31
alpha_signed_diff,accuracy_majority,0,pooled,,72,-0.0419,0.7267,-0.0393,0.7429,layer_31
alpha_signed_diff,overall_score,0,pooled,,72,0.2483,0.0355,0.289,0.0138,layer_31
alpha_signed_diff,transfer_score,0,pooled,,72,0.1628,0.1718,0.1699,0.1536,layer_31
alpha_signed_diff,transfer_score_str,0,pooled,,72,0.2567,0.0295,0.248,0.0357,layer_31
alpha_signed_diff,overall_score_str,0,pooled,,72,0.248,0.0357,0.2344,0.0475,layer_31
alpha_signed_diff,transfer_margin_str,0,pooled,,72,0.281,0.0168,0.2282,0.0539,layer_31
alpha_signed_diff,overall_margin_str,0,pooled,,72,0.3487,0.0027,0.3909,0.0007,layer_31
alpha_signed_diff,accuracy_gpt-5-mini,0,pooled,,72,-0.0332,0.7819,-0.0052,0.9652,layer_31
alpha_signed_diff,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.0757,0.5273,-0.0091,0.9395,layer_31
alpha_signed_diff,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.094,0.4322,-0.0834,0.4861,layer_31
alpha_min,accuracy_majority,0,pooled,,72,0.1621,0.1738,0.1305,0.2746,layer_31
alpha_min,overall_score,0,pooled,,72,0.3518,0.0024,0.4174,0.0003,layer_31
alpha_min,transfer_score,0,pooled,,72,0.391,0.0007,0.3742,0.0012,layer_31
alpha_min,transfer_score_str,0,pooled,,72,0.4751,0.0,0.5279,0.0,layer_31
alpha_min,overall_score_str,0,pooled,,72,0.269,0.0223,0.4403,0.0001,layer_31
alpha_min,transfer_margin_str,0,pooled,,72,0.4787,0.0,0.3592,0.0019,layer_31
alpha_min,overall_margin_str,0,pooled,,72,0.4057,0.0004,0.6307,0.0,layer_31
alpha_min,accuracy_gpt-5-mini,0,pooled,,72,0.1166,0.3292,0.1345,0.2599,layer_31
alpha_min,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,0.0651,0.5871,0.0896,0.4541,layer_31
alpha_min,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,0.1156,0.3336,0.1137,0.3415,layer_31
alpha_max,accuracy_majority,0,pooled,,72,0.2461,0.0372,0.1767,0.1375,layer_31
alpha_max,overall_score,0,pooled,,72,0.4094,0.0004,0.4451,0.0001,layer_31
alpha_max,transfer_score,0,pooled,,72,0.4043,0.0004,0.3821,0.0009,layer_31
alpha_max,transfer_score_str,0,pooled,,72,0.3004,0.0104,0.3624,0.0018,layer_31
alpha_max,overall_score_str,0,pooled,,72,0.2137,0.0714,0.2809,0.0168,layer_31
alpha_max,transfer_margin_str,0,pooled,,72,0.1697,0.1541,0.0901,0.4517,layer_31
alpha_max,overall_margin_str,0,pooled,,72,0.2793,0.0175,0.3003,0.0104,layer_31
alpha_max,accuracy_gpt-5-mini,0,pooled,,72,0.2124,0.0733,0.1625,0.1726,layer_31
alpha_max,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,0.2083,0.0791,0.1718,0.1489,layer_31
alpha_max,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,0.1909,0.1082,0.1325,0.2671,layer_31
alpha_norm_asym,accuracy_majority,0,pooled,,72,-0.0625,0.6017,-0.1456,0.2223,layer_31
alpha_norm_asym,overall_score,0,pooled,,72,0.2289,0.0531,0.162,0.1739,layer_31
alpha_norm_asym,transfer_score,0,pooled,,72,0.1473,0.217,0.0544,0.6501,layer_31
alpha_norm_asym,transfer_score_str,0,pooled,,72,0.2331,0.0488,0.1074,0.3691,layer_31
