q_id,lang,generation_idx,original_lang,judge,correct
113,en,0,es,Qwen/Qwen3.5-27B,True
131,fr,0,es,Qwen/Qwen3.5-27B,True
274,fr,0,id,Qwen/Qwen3.5-27B,True
78,de,0,de,Qwen/Qwen3.5-27B,True
131,it,0,es,Qwen/Qwen3.5-27B,True
78,zh,0,de,Qwen/Qwen3.5-27B,True
502,en,0,zh,Qwen/Qwen3.5-27B,True
113,es,0,es,Qwen/Qwen3.5-27B,True
113,fr,0,es,Qwen/Qwen3.5-27B,True
131,de,0,es,Qwen/Qwen3.5-27B,True
113,ja,0,es,Qwen/Qwen3.5-27B,True
502,es,0,zh,Qwen/Qwen3.5-27B,True
502,it,0,zh,Qwen/Qwen3.5-27B,True
131,en,0,es,Qwen/Qwen3.5-27B,True
78,ja,0,de,Qwen/Qwen3.5-27B,True
274,en,0,id,Qwen/Qwen3.5-27B,True
502,ja,0,zh,Qwen/Qwen3.5-27B,True
113,de,0,es,Qwen/Qwen3.5-27B,True
274,es,0,id,Qwen/Qwen3.5-27B,True
78,id,0,de,Qwen/Qwen3.5-27B,True
78,en,0,de,Qwen/Qwen3.5-27B,True
78,it,0,de,Qwen/Qwen3.5-27B,True
131,hi,0,es,Qwen/Qwen3.5-27B,True
502,de,0,zh,Qwen/Qwen3.5-27B,True
33,zh,0,en,Qwen/Qwen3.5-27B,True
113,id,0,es,Qwen/Qwen3.5-27B,True
502,zh,0,zh,Qwen/Qwen3.5-27B,True
33,de,0,en,Qwen/Qwen3.5-27B,True
78,fr,0,de,Qwen/Qwen3.5-27B,True
274,de,0,id,Qwen/Qwen3.5-27B,True
113,hi,0,es,Qwen/Qwen3.5-27B,True
131,es,0,es,Qwen/Qwen3.5-27B,True
502,hi,0,zh,Qwen/Qwen3.5-27B,True
33,es,0,en,Qwen/Qwen3.5-27B,True
131,ja,0,es,Qwen/Qwen3.5-27B,True
502,fr,0,zh,Qwen/Qwen3.5-27B,True
502,id,0,zh,Qwen/Qwen3.5-27B,True
33,id,0,en,Qwen/Qwen3.5-27B,True
185,de,0,hi,Qwen/Qwen3.5-27B,True
113,it,0,es,Qwen/Qwen3.5-27B,True
185,en,0,hi,Qwen/Qwen3.5-27B,True
274,ja,0,id,Qwen/Qwen3.5-27B,True
185,it,0,hi,Qwen/Qwen3.5-27B,True
185,hi,0,hi,Qwen/Qwen3.5-27B,True
113,zh,0,es,Qwen/Qwen3.5-27B,True
78,es,0,de,Qwen/Qwen3.5-27B,True
185,id,0,hi,Qwen/Qwen3.5-27B,True
185,ja,0,hi,Qwen/Qwen3.5-27B,True
274,it,0,id,Qwen/Qwen3.5-27B,True
131,id,0,es,Qwen/Qwen3.5-27B,True
185,fr,0,hi,Qwen/Qwen3.5-27B,True
9,en,0,he,Qwen/Qwen3.5-27B,True
33,en,0,en,Qwen/Qwen3.5-27B,True
185,zh,0,hi,Qwen/Qwen3.5-27B,True
274,zh,0,id,Qwen/Qwen3.5-27B,True
274,id,0,id,Qwen/Qwen3.5-27B,True
321,en,0,it,Qwen/Qwen3.5-27B,True
33,fr,0,en,Qwen/Qwen3.5-27B,True
185,es,0,hi,Qwen/Qwen3.5-27B,True
321,fr,0,it,Qwen/Qwen3.5-27B,True
131,zh,0,es,Qwen/Qwen3.5-27B,True
321,es,0,it,Qwen/Qwen3.5-27B,True
9,fr,0,he,Qwen/Qwen3.5-27B,True
9,de,0,he,Qwen/Qwen3.5-27B,True
321,de,0,it,Qwen/Qwen3.5-27B,True
9,id,0,he,Qwen/Qwen3.5-27B,True
261,zh,0,id,Qwen/Qwen3.5-27B,True
261,es,0,id,Qwen/Qwen3.5-27B,True
321,id,0,it,Qwen/Qwen3.5-27B,True
9,it,0,he,Qwen/Qwen3.5-27B,True
261,en,0,id,Qwen/Qwen3.5-27B,True
321,zh,0,it,Qwen/Qwen3.5-27B,True
261,fr,0,id,Qwen/Qwen3.5-27B,True
321,ja,0,it,Qwen/Qwen3.5-27B,True
78,hi,0,de,Qwen/Qwen3.5-27B,True
261,ja,0,id,Qwen/Qwen3.5-27B,True
321,hi,0,it,Qwen/Qwen3.5-27B,True
9,es,0,he,Qwen/Qwen3.5-27B,True
261,id,0,id,Qwen/Qwen3.5-27B,True
497,en,0,zh,Qwen/Qwen3.5-27B,True
